Name,Lecture,Comment,Time,Likes,Reply Count,Sentiments
@angelotadle3025,1,Letter C. Can read its owners emotions no one can predict it,2023-08-22T 15: 00: 00Z ,0,1,Positive 
@sonikakotwal5606,1,all the options are correct when the future of AI is devloped,2022-08-22T 12: 00: 00Z ,0,1,Positive 
@osamakhan-tl5hc,1,The ans is B.,2023-09-02T 17: 00: 00Z ,0,0,Positive 
@riahariani215,1,Amazing,2023-09-02T 19: 00: 00Z ,1,1,Positive 
@akshithapatel8457,1,Option D is correct,2023-08-22T 12: 00: 00Z ,0,0,Neutral 
@dewangiagrawal7137,1,AI that develops emotion over time,2021-09-31T 18: 00: 00Z ,0,1,Positive 
@vinaygoud6979,1,Very informative,2022-08-07T 14: 08: 00Z,0,1,Positive 
@jamesogunbowale807,1,Answer is B,2023-08-22T 19: 00: 00Z ,1,1,Positive 
@chmasood4081,1,Option D is correct,2023-08-22T 18: 00: 00Z ,1,1,Positive 
@jndd7373,1,"There isn't an AI that develops emotions over time, so the answer is D.",2022-06-19T 12: 00: 00Z ,1,1,Negative 
@taqwamuhammad12,1,C is the answer!,2022-08-07T 19: 08: 00Z,1,1,Positive 
@Ag_Saurabh,1,All of the above !,2024-05-17T 16: 00: 00Z,0,0,Neutral 
@abhishekpatil5635,1,Option B is a correct ans.,2021-08-15T 16:00: 00Z ,0,1,Positive 
@ratnam97,1,"option :D, AI that develops emotions over time",2021-07-12T 15: 00: 00Z ,0,1,Positive 
@vamshigaddarashi8841,1,Option D.,2023-08-22T 19: 00: 00Z ,0,0,Neutral 
@chukwuebukannadozie9500,1,To your question. A robot with a muscular system,2023-08-22T 13: 00: 00Z ,1,1,Positive 
@TECH_Abode,1,Answer is D,2022-09-14T 18: 00: 00Z,1,1,Positive 
@clasherpk7200,1,Answer is D,2022-05-17T 14: 00: 00Z ,1,1,Positive 
@chiragbhurani252,1,The answer is 'B'.,2022-09-19T 13: 00: 00Z ,1,1,Positive 
@user-vg4do1qm3h,1,option d is the answer because current ai cannot have their own emotions.,2023-08-22T 19: 00: 00Z ,0,0,Neutral 
@shaheershahzad,1,Answer is D,2021-12-7T 12: 00: 00Z ,1,1,Positive 
@parulsingh7092,1,Answer is D,2022-10-12T 18: 00: 00Z ,1,1,Positive 
@ThGOdofFootbaLL,1,Option B If I am correct then pls give me the awaard. I am bery poor.. Thanku,2023-08-22T 17: 00: 00Z ,1,1,Positive 
@gabrielenrico8847,1,Option D is my answer,2023-08-22T 15: 00: 00Z ,1,1,Positive 
@abhinavpatil8633,1,Answer is D,2021-09-12T 19: 00: 00Z ,1,1,Positive 
@thabisongobeni1982,1,The answer to the question is A,2022-12-12T 17: 00:00Z ,1,1,Positive 
@charanskrmk4697,1,i think option c because robot can read the owner's emotion,2021-08-12T 17: 00: 00Z ,1,1,Positive 
@gattusuneel8093,1,The answer is option d,2021-03-19T 16: 00: 00Z ,1,1,Positive 
@robinramchiary5434,1,Answer c,2023-12-31T 12: 00: 00,0,0,Positive 
@nehagupta-ku2vu,1,The answer is A,2024-05-13T 19: 00: 00Z ,1,1,Positive 
@Ososkimo,1,Option D,2023-10-17T 14: 00: 00Z ,1,1,Positive 
@lovepurpleworldbts8260,1,Option D,2024-08-21T 17:00: 00Z ,0,1,Positive 
@serahrasquinha5777,1,Option D ,2024-08-25T 14: 00: 00Z ,0,1,Positive 
@aneesakashif3575,1,ai that can reads its owner emotions,2021-09-21T 16: 00: 00Z ,1,1,Positive 
@AnnaMathew-om1rh,1,Option d ai that develops emotions over time,2024-07-12T 25: 00: 00Z ,1,1,Positive 
@manjujain4654,1,A: An AI robot with citizenship,2021-07-12T 19: 00: 00Z ,2,1,Positive 
@madhulr5599,1,Option d,2022-09-15T 15: 00: 00Z ,1,1,Positive 
@nooralkhusaibi9043,1,The answer is A,2023-09-19T 12: 00: 00Z ,0,0,Neutral 
@kungumamoushika132,1,A is the correct one,2022-07-19T 16: 00: 00 ,1,1,Positive 
@rookmindemas7842,1,the answer is b,2023-08-16T 17: 00: 00Z ,1,1,Positive 
@ritugupta2671,1,Option D,2023-08-16T 15: 00: 00Z ,1,1,Positive 
@simpliemarvellous7929,1,he answer is option B,2021-08-15T 19: 00: 00Z ,1,1,Positive 
@xManishx.,1,The Answer will be D,2021-09-31T 17: 00: 00Z ,1,1,Positive 
@sujalbennadi7450,1,Options A and D,2023-08-20T 19: 00: 00Z ,1,1,Positive 
@Surendrayadav-zk5me,1,Option c is right option,2023-08-23T 17: 00: 00Z ,1,1,Positive 
@venkateshgiri9169,1,Ans-D ,2021-07-29T 25: 00: 00Z ,1,1,Positive 
@shubhyasoham8629,1,Option B,2023-08-20T 19: 00: 00Z ,1,1,Positive 
@mudithabandara8575,1,Good one,2023-08-28T 11: 00: 00Z ,1,1,Positive 
@princeubaid5989,1,The answer is D AI DOESNT understand emotions,2021-07-24T 18: 00: 00Z ,1,1,Positive 
@atharvanarayan1809,1,Option B,2023-08-18T 13: 00: 00Z ,1,1,Positive 
@omkarvidhate6497,1,AI that develops emotions,2021-09-18T 15: 00: 00Z ,1,1,Positive 
@superviji5619,1,Answer: option D is the correct answer,2022-08-17T 19: 00: 00Z ,1,1,Positive 
@bawneetsingh9936,1,Option D,2023-09-10T 20: 00: 00Z ,1,1,Positive 
@uzairakbar908,1,Option D,2023-10-10T 28: 00: 00Z ,1,1,Positive 
@anamikadubey7464,1,Answer D,2022-09-12T 17: 00: 00Z ,1,1,Positive 
@himanshugiri3834,1,D to develop emotions over time,2022-01-19T 20: 00: 00Z ,1,1,Positive 
@akhilpatoliya2963,1,i think option D is correct,2023-09-18T 19: 00: 00Z ,0,0,Neutral 
@fatihdemirel2171,1,answer: B,2022-10-19T 11: 00: 00Z ,1,1,Positive 
@user-mw7gc9cp4i,1,To program an intelligent machine.,2024-04-14T 24: 00: 00Z ,4,1,Positive 
@maureenschad210,1,"The correct answer is c because YOU (humans) don’t have to help it learn it does itself. Also, humans do program it and it is very intelligent (and a machine)",2023-09-19T 12: 00: 00Z ,1,0,Positive 
@poojacg7343,1,Quiz-The answer is 3)To program an intelligent machine,2023-12-18T 23: 00: 00Z ,0,0,Positive 
@onyekachinnakenyi,1,To program an intelligent machine,2024-05-18T 14: 00: 00Z ,0,1,positive 
@downloadsvideos1773,1,To program an intelligence machine,2023-09-12T 16: 00: 00Z ,1,1,Positive 
@BetterVersionYourself_,1,ai forever,2023-06-18T 20: 00: 00Z ,0,0,Positive 
@justreisz,1,whats the software to do this kinda videos?,2023-09-19T 12: 00: 00Z ,0,0,Neutral 
@markrich7693,1,Can I talk about A. I on my next you video in two years,2023-01-14T 19: 00: 00Z ,1,1,Positive 
@kevindepew8193,1,Good short video. But why does every male character have a beard?,2024-05-19T 28: 00: 00Z ,0,1,Positive 
@armarelano4190,1,May I share shore you videos for colleague of 7 enlightenment about AI?,2023-11-16T 10: 00: 00Z ,0,1,Positive 
@gengzhi8131,1,3,2023-09-18T 19: 00: 00Z ,0,1,Neutral 
@lewisrohit5818,1,2nd creating a device using your own intelligence,2023-10-17T 14: 00: 00Z ,0,1,Positive 
@atiarafiq932,1,Playing a game,2023-09-23T 17: 00: 00Z ,0,0,Positive 
@monicawairimu108,1,The answer is D : AI that develops emotions over time,2022: 08: 15T 17: 00: 00Z ,2,1,Positive 
@kangkanray1975,1,D. AI that develops emotions over time.,2020-12-17T 20: 00: 00Z ,8,`1,Positive 
@gelsonmanuel8142,1,The answer is D a AI that develops emotions over time,2023-09-18T 19: 00: 00Z ,1,1,Positive 
@atulyachauhan9024,1,D - AI that develops Emotions over time,2021-06-12T 18: 00: 00Z ,2,1,Positive 
@bolajimohammed,1,I choose option D. AI that develops emotion over time,2021-09-18T 12: 00: 00Z ,0,0,Positive 
"
@gaadhasuraj9924
",1,I'm soo confused! I think its C but in the same time I think its D!!!,2021-11-09T 13: 00: 00Z ,3,1,Negative 
@bennyscarcelli,1,"For now: D. Al that develops emotions over time This capability will likely eventuate when strong AI systems will be developed, rather than the task oriented weak AI we currently have",2022-08-19T 16: 00: 00Z ,5,1,Positive 
@garygerard4290,1,I watched about half and have no idea what ai is. thanks for trying.,2023-08-23T 17: 00: 00Z ,1,1,Positive 
@avilashasarkar1546,1,Answer- no. D,2021-07-15T 21: 00: 00Z ,2,1,Positive 
@JahmaulLewis,1,AI that develops emotions over time,2024-07-18T 14:00:00Z,0,0,Positive 
@missn420,1,Answer -B,2021-09-19T 23: 00: 00Z ,2,1,Positive 
@sanskarkashyap9622,1,Sir the right option is d Yet there is no robot that can develop its own emotions.,2022-05-19T 17: 00: 00Z ,2,1,Positive 
"
@sivadeepu7722
",1,"The answer is option ""D""",2023-08-20T 18: 00: 00Z ,0,0,Neutral 
@lessbetter,1,Great explanation video! Now I'm curious since this video is over 3 years old. Still going with option D - AI that develops emotion over time does not exist.,202-7-18T 26: 00: 00Z ,2,1,Positive 
@jamesogunbowale807,1,Answer is B,2023-07-31T 17: 00: 00Z ,1,1,Positive 
@AnwarHossain-x5e,1,The answer is B,2023-06-11T 10: 00: 00Z ,1,1,Positive 
@dochostner9185,1,D is the answer.,2021-02-14T 18: 00: 00Z ,1,1,Positive 
@TECH_Abode,1,Answer is D,2022-05-19T 24: 00: 00Z ,1,1,Positive 
@sukidevichoudhary1568,1,The answer is D ,2022-08-18T 17: 00: 00Z ,1,1,Positive 
@sistersingularity,1,All of the above.,2022-09: 22T 21: 00: 00Z ,1,1,Positive 
@786786420,1,Option D,2023-12-25T 22: 00: 00Z ,0,1,Positive 
@shubhamponnam2024,1,Option A ,2022-05-17T 13: 00: 00Z ,1,1,Positive 
@abulhussainnh6171,1,I think it is D-AI that develops emotions in very time.,2022-07-23T 16: 00: 00Z ,2,1,Positive 
@vivgameing9164,1,The answer is D ,2023-08-19T 17: 00: 00Z ,2,1,Positive 
@robertsonjames6916,1,The answer is D (AI that develops emotions over time),2021-07-18T 19: 00: 00Z ,1,1,Positive 
@paulnyagini,1,The power of mathematics,2023-04-15T 21: 00: 00Z ,2,1,Positive 
@AMA-pl3wf,1,Thank you for your teaching. My answer to your question is D. Best Wishes for you all.,2023-09-15T 23: 00: 00Z ,0,1,Positive 
@gamebred5725,1,Option(D):AI that develops emotions over time,2022-01-1T 17: 00: 00Z ,2,1,Positive 
@jaisurya5674,1,Option D is the correct answer That is ai that develops emotions over time,2021-03-16T 19: 00: 00Z ,2,2,Positive 
@wahyuanaandikarini9184,1,nice and must try,2023-09-10T 15: 00: 00Z ,3,1,Positive 
@irizprolearningsolutions5320,1,That's a great way of explaining a complicated term!,2021-06-18T 13: 00: 00Z ,7,1,Positive 
@onestepatatime158,1,My teacher making me learn AI by this video interesting,2021-03-08T 17: 00: 00Z ,3,1,Positive 
@monicawairimu108,1,The answer is D : AI that develops emotions over time,2022-08-19T 15: 00: 00Z ,2,1,Positive 
@kangkanray1975,1,D. AI that develops emotions over time.,2022-08-17T 14: 00: 00Z ,8,1,Positive 
@Sesquipedalia,1,Funfact : AlphaGo (the very intelligent go player) is actually one of the best AI in chess too. For chess its refered as AlphaZero,2021-08-19T 11: 00: 00Z ,10,1,Positive 
@gelsonmanuel8142,1,The answer is D a AI that develops emotions over time,2023-09-06T 17: 00: 00Z ,1,1,Positive 
@marketmovers2,1,Awesome video but my answer is D: AI that develops emotions over time.,2023-12-16T 18: 00: 00,0,0,Positive 
@inevitable514freefire,1,In my opinion Option D is the best answer to go with,2024-07-18T 19: 00: 00Z ,0,0,Neutral 
@hrishitaacharyya9691,1,Option D is correct as there is no Ai project which has its own emotions,2022-07-18T 12: 00: 00Z ,2,1,Positive 
@ajithkrrish3534,1,"Thanks for your video, because I am concerned about this AI,as I am completely belongs to different stream though I don't know much more about it. So this video taught me a lot of information precisely, time management.",2021-07-12T 16: 00: 00Z ,3,2,Positive 
@Education-gp9mh,1,answer is B,2021-07-18T 21: 00: 00Z ,1,1,Positive 
@sarfarazalamkhan486,1,Option D is Right,2022-09-12T 19: 00: 00Z,2,1,Positive 
@chhavisharma4959,1,The answer of your quiz question is option D :),2021-08-18T 11: 00: 00Z ,1,1,Positive 
@gaberosario925,1,The answer is A easy bro,2024-03-30T 14: 00: 00Z ,0,0,Neutral 
@CVBalanga,1,How I wished to learn AI for goodness sake.,2024-06-13T 11: 00: 00Z ,1,0,Positive 
@anamikadubey7464,1,Answer D,2022-01-16T 18: 00; 00Z ,1,1,Positive 
@nooralkhusaibi9043,1,The answer is A,2023-09-11T 17: 00: 00Z ,0,0,Positive 
@KakashIHatake-yy6kc,1,Answer is d,2022-08-12T 19: 00: 00Z ,1,1,Positive 
@kamleshkumari3852,1,B) A robot with a skeletal system,2022-08-12T 19: 00: 00Z ,0,0,Positive 
@jndd7373,1,Thank you ,2022-07-10T 14: 00: 00Z ,0,1,Positive 
@vinaygoud6979,1,Very informative,2022-07-19T 13: 00: 00Z ,0,1,Positive 
@okwaraawa3925,1,I'm going with the option A,2023-10-16T 12: 00: 00Z ,0,0,Positive 
@hnryPw3127,1,Answer: Robot with a citizenship,2022-04-18T 18: 00: 00Z ,1,1,Positive 
@marvinmontanes1661,1,All of the above,2021-06-19T 17: 00: 00Z ,1,1,Positive 
@incsvddivine1282,1,very useful,2023-09-17T 18: 00: 00Z ,0,1,Positive 
@collinsmwaisaka1921,1,Option C,2023-08-23T 13: 00: 00Z ,1,1,Positive 
@swatichaudhary2629,1,option b is correct,2021-09-12T 17: 00: 00Z ,1,2,Positive 
@pragnyarajabattula2669,1,It's option D,2023-08-12T 21: 00: 00Z ,1,1,Positive 
@charanskrmk4697,1,I  think option c because robot can read the owner's emotion,2021-08-14T 13: 00: 00Z ,1,1,Positive 
@tazeenfatima5466,1,Correct answer is D,2022-07-17T 18: 00: 00Z ,1,1,Positive 
@akhilpatoliya2963,1,I  think option D is correct,2023-09-12T 19: 00: 00Z ,0,1,Positive 
@78_shubhambhatuniya31,1,All of the above !,2023-08-12T 21: 00: 00Z ,1,1,Positive 
@AbhishekKumar51379,1,option D,2022-05-13T 17: 00: 00Z ,1,1,Positive 
@shubhyasoham8629,1,Option B,2023-12-15T 14: 00: 00Z ,1,1,Positive 
@jeffreybinu5412,1,Option B ,2022-09-15T 16: 00: 00Z ,1,1,Positive 
@user-ze7tb1wq6v,1,Nice ,2022-04-17T 12: 00: 00Z ,0,0,Neutral 
@mayerngum286,1,my answer is D,2023-12-19T 16: 00: 00Z ,1,1,Positive 
@shekinahrehobothyouth9436,1,option D,2022-08-12T 19: 00: 00Z ,1,1,Positive 
@brokengamer01,1,Option D is correct ,2023-09-11T 16: 00: 00Z ,1,1,Positive 
@Neoblade057,1,It's Option D,2021-11-19T 14: 00: 00Z ,1,1,Positive 
@bushrazohaib137,1,The Answer is D,2024-07-15T 20: 00: 00Z ,0,0,Positive 
@sriasfoundationacademy2170,1,I think A is correct,2022-05-12T 19: 00: 00Z ,1,1,Positive 
@mobinulhaque479,1,It's absolutely D,2021-05-13T 17: 00: 00Z ,1,1,Positive 
@sukidevichoudhary1568,1,The answer was b,2022-06-18T 15: 00: 00Z ,1,1,Positive 
@mariajoseduramata4744,1,AI that develops emotions over time,2023-12-17T 18: 00: 00Z ,1,3,Positive 
@uttarakhandicutelittlegirl,1,D- AI that develops emotions over time,2021-06-13T 17: 00: 00Z ,0,1,Positive 
@htarunkapoor4066,1,Sophia got the citizen ship of Dubai. A bot can read it's owner expression because he is fed with a lot of images. Sophia can develop emotions over time but a bot didn't got a muscular skeletal system so b would be the right answer as per me.,2022-08-12T 18: 00: 00Z ,0,1,Positive 
@victoroforji,1,d is the answer,2023-08-12T 18: 00: 00Z ,0,0,Positive 
@vickyg7377,1,I will say B and D,2023-08-23T 14: 00: 00Z ,0,0,Positive 
@ferdouszulfiqur,1,Option 4 is the correct answer,2022-08-12T 16: 00: 00Z ,0,1,Positive 
@smritiawasthi9814,1,D option ,2022-07-11T 17: 00: 00Z ,1,1,Positive 
@SayanDas-wy5h,1,Tha answer of the quiz Is C,2024-07-17T 19: 00: 00Z ,0,0,Positive 
@jonathanleung248,1,option d is the right anwser,2023-08-22T 17: 00: 00Z ,0,1,Positive 
@mhkazemirad5139,1,The answer is D. AI can't develop emotions yet,2024-07-10T 16: 00: 00Z ,0,1,Negative 
@oggygaming7802,1,D part is the correct answer,2022-09-11T 18: 00: 00Z ,0,1,Positive 
@sariahmohamed8113,1,I want to create an app that has AI that makes orders to certain suppliers and customers so which ai is that and how long do I need to do coding and what do I need,2021-08-12T 17: 00: 00Z ,1,1,Positive 
@uealoneff4079,1,B is the correct answer ,2023-12-10T 16: 00: 00Z ,0,0,Neutral 
@wisdomeducation1137,1,Read emotion,2023-08-10T 17: 00: 00Z ,1,1,Positive 
@BerndPrager,1,"Option D will be challenging at least by our current understanding. ""Feeling anxious"", ""getting excited"", ""being embarrassed"" ? all that requires bio-chemical processes, release of endorphins, change in blood pressure to make your cheeks ""hot"". Computer simply don't have the hardware (or as some people put it, the wetware) for it. Can it be simulated? Absolutely! But then it will be just that: a simulation. Great video by the way. Thank you.",2023-11-15T 13: 00: 00Z ,0,1,Positive 
@SukanyaSaha-nl7dr,1,"Option D.Emotions are perceived by human, Till now,AI couldn't develop robots with emotions",2023-08-28T 12: 00: 00Z ,0,1,Positive 
@ritugupta2671,1,ption D,2023-08-02T 27: 00: 00Z ,1,1,Positive 
@bawneetsingh9936,1,Option D,2023-10-13T 22: 00: 00Z ,1,1,Positive 
@artisharma8904,1,Option D,2022-09-11T 18: 00: 00Z ,1,1,Positive 
@cliffordohipeni1518,1,Option D,2022-07-12T 13: 00: 00Z ,1,1,Positive 
@ProGamer-mx9re,1,Option d. Is the answer,2023-08-17T 19: 00: 00Z ,1,1,Positive 
@acshayam.n.5976,1,Option D,2022-07-19T 12: 00: 00Z ,1,1,Positive 
@ponnachanchacko1530,1,Option D,2022-09-12T 19: 00: 00Z ,1,1,Positive 
@pamarthibhavani3605,1,Option D,2022-08-18T 17: 00: 00Z ,1,1,Positive 
@preetha8630,1,Option D,2022-07-18T 12: 00: 00Z ,1,1,Positive 
@dra.m.anandakumar1659,1,Option D,2022-05-13T 17: 00: 00Z ,1,1,Positive 
@shailendramathur1105,1,Option D,2022-09-17T 15: 00: 00Z ,1,1,Positive 
@NurulHasanah-xo1ot,1,Good ,2023-09-20T 19: 00: 00Z ,0,0,Positive 
@pragnatala8730,1,a robot with the muscular scelital system,2021-06-13T 18: 00: 00Z ,1,1,Positive 
@hariprasadvv2200,1,Option D,2021-09-13T 12: 00: 00Z ,1,1,Positive 
@user-zk9gr4tn7x,1,good job,2023-10-18T 18: 00: 00Z ,0,0,Positive 
@mahalingamkala1571,1,Option D,2021-11-13T 16: 00: 00Z ,1,1,Positive 
@sujalbennadi7450,1,Options A and D,2023-09-15T 23: 00: 00Z ,1,1,Positive 
@aditisinha4832,1,According to me it's D,2022-09-12T 17: 00: 00Z ,1,1,Positive 
@osamakhan-tl5hc,1,The ans is B.,2023-10-15T 12: 00: 00Z ,0,0,Neutral 
@kamalaeloisa1522,1,The ai the can read human’s emotions,2024-09-19T 17: 00: 00Z ,0,1,Positive 
@marshayhunter8339,1,answer B to quiz,2022-07-12T 12: 00: 00Z ,1,1,Positive 
@abhimanyupandit3227,1,ANS is D BECAUSE AI that develop emotions over time are don't exist yet!,2021-07-13T 18: 00: 00Z ,1,1,Positive 
@yeasminakter8744,1,Option D!,2023-08-12T 16: 00: 00Z ,1,1,Positive 
@abhimanyupandit3227,1,ANS is D BECAUSE AI that develop emotions over time are don't exist yet!,2021-09-19T 23: 00: 00Z ,1,1,Positive 
@zadisclup,1,Love this ,2022-10-15T 11:00: 00Z ,1,1,Positive 
@yullyattybianakunbelajarid153,1,Thanks ,2023-09-18T 19: 00: 00Z ,0,0,Positive 
@dubaiautismstar3143,1,Great ,2023-09-12T 23: 00: 00Z ,0,1,Positive 
@patriciamadsen8091,1,Hmmm. Sounds like that Terminator character and we all know what happened to him.,2023-10-16T 17: 00: 00Z ,1,1,Positive 
@Real_memo,1,Answer is D ai doesn't develop emotion by its self,2022-09-12T 13: 00: 00Z ,0,1,Positive 
@21whenggay,1,ANSWER:. A. AI CITIZENSHIP,2024-07-19T 19: 00: 00Z ,0,0,Positive 
@gloriagloria8358,1,C and D,2024-08-10T 09: 00: 00Z ,0,0,Positive 
@goldveins7176,1,I think someone will program an AI to run as a politician one day.,2023-07-18T 16: 00: 00Z ,0,1,Positive 
@sheetalaruldoss3915,1,Which is best artificial intelligence and data science or ai machine learning pls give a reply,2022-09-18T 15: 00: 00Z ,1,1,Positive 
@kritikamamtagaur6968,1,a) An AI robot with citizenship,2024-08-2T 17: 00: 00Z ,0,0,Positive 
@moustaphasamoury2162,1,The answer is C & D,2022-07-12T 19: 00: 00Z ,0,1,Positive 
@robinramchiary5434,1,Answer c,2024-03-07T 14:00: 00Z ,0,0,Positive 
@gkfoodievlog4918,1,Ans is : D,2022-07-12T 17: 00: 00Z ,1,1,Positive 
@dhanushdacharya7916,1,Option B,2023-08-18T 13: 00: 00Z ,0,0,Positive 
@AkashGurav-ws4so,1,Ans is Option C,2023-09-18T 16: 00: 00Z ,0,1,Positive 
@user-lf7zn2dr1v,1,"What about ChatGPT? In which category would this AI, strong or weak AI?",2023-08-17T 18: 00: 00Z ,0,0,Positive 
@maandamulaudzi1486,1,AI with a citizenship,2023-07-13T 18: 00: 00Z ,1,1,Positive 
@happyme1500,1,Tge answer for the quizz is I guess we don't yet have an AI that can read its owners emotions. Is it true? What is the answer???,2022-09-12T 13: 00: 00Z ,1,2,Positive 
@IFEOLUWAESTHERAMOO-in2lf,1,Answer is C,2023-08-13T 21: 00: 00Z ,0,1,Positive 
@DaxAz67,1,Nice ,2022-08-12T 17: 00: 00Z ,0,1,Positive 
@navjeetkaur2829,1,Any intelligence without right use of emotions is useless.,2023-08-12T 19: 00: 00Z ,1,1,Negative 
@shariqwarsi6186,1,Option A,2023-12-14T 16: 00: 00Z ,0,0,Neutral 
@ChinmayGupta688,1,Option: D,2024-08-03T 13: 00: 00Z ,0,0,Positive 
@brjmac,1,Answer to the quiz...D,2022-09-12T 19: 00: 00Z ,1,1,Positive 
@beenatomar7677,1,Its option D,2021-07-19T 12: 00: 00Z ,1,2,Positive 
@janhvisingh4224,1,Ans- an AI robat with citizenship,2022-09-12T 18: 00: 00Z ,1,1,Positive 
@alishatamboli6584,1,Option D,2024-07-23T 16: 00: 00Z ,0,0,Positive 
@rohiteshsrivastava1857,1,The answer is D,2024-05-31T 16: 00: 00Z ,0,1,Positive 
@alshehhi.dalal_9812,1,AI has citizenship now,2022-09-12T 17: 00: 00Z ,1,1,Positive 
@lakshitnehra8296,1,OPTION C & D AS THE AI IS NOT YET ADVANCED TO READ AND DEVELOP EMOTIONS .,2021-10-15T 12: 00: 00Z ,0,1,Positive 
@MayaadhamMaya,1,OPTION d IS THE CORRECT ANSWER,2024-07-17T 19: 00: 00Z ,0,0,Positive 
@user-kf3ek4qw4b,1,Cool video ,2023-12-16T 18: 00: 00Z ,0,1,Positive 
@sathishkumarshanmugam8476,1,Option A.,2023-10-15T 12: 00: 00Z ,1,1,Positive 
@jamesnyoro8724,1,option 1,2023-09-13T 17: 00: 00Z ,1,1,Positive 
@rahadulislamisrahat8922,1,Option D,2024-06-02T 16: 00: 00Z ,0,0,Positive 
@timlee4213,1,Okay. ,2023-08-12T 17: 00: 00T ,1,1,Positive 
@hazemhesham9645,1,A robot wite amuscular skeletal system ,2022-09-18T 15: 00: 00Z ,1,1,Positive 
@lovepurpleworldbts8260,1,Option D,2023-08-14T 19: 00: 00Z ,0,1,Positive 
@serahrasquinha5777,1,Option D,2023-09-18T 16: 00: 00Z ,0,1,Positive 
@tesfayekebede7724,1,the answer is D.,2021-08-13T 17: 00: 00Z ,0,1,Positive 
@arthanakk8385,1,Option c,2022-06-16T 15: 00: 00Z ,1,1,Positive 
@arpithadn6769,1,option c,2022-01-14T 13: 00: 00Z ,1,1,Positive 
@colinknowitall889,1,May i know what is the software you are usign for this video?,2023-08-13T 16: 00: 00Z ,0,0,Neutral 
@akgamerz9716,1,Option D ,2023-09-18T 11: 00: 00Z ,2,1,Positive 
@arunakranthi4549,1,option c,2021-07-13T 18: 00: 00Z ,1,1,Positive 
@emonsysemonsys,1,All of the above !,2024-07-13T 17: 00: 00Z ,0,0,Positive 
@dilanjimenezr,1,Excellent ,2023-07-18T 16: 00: 00Z ,0,0,Positive 
@nakirijjaangela792,1,C and D,2024-08-14T 15: 00: 00Z ,0,0,Positive 
@EC-BhavithraG,1,Answer. D,2022-08-16T 17: 00: 00Z ,1,1,Positive 
@katkunandu7693,1,It's A machine citizenship,2022-09-16T 12: 00: 00Z ,1,1,Positive 
@jinhitentertainment9548,1,OPTION D,2024-03-9T 16: 00: 00Z ,0,0,Positive 
@saikumarrayudu6900,1,ai with human emotions doesn't exist,2024-06-20T 12: 00: 00Z ,1,0,Negative 
@TheMartsevich,1,All of them,2021-09-12T 18: 00: 00Z ,1,1,Positive 
@karishma2554,1,The answer is C ,2022-07-16T 29: 00: 00Z ,1,1,Positive 
@SummerMcIntyre-o6i,1,A and C,2024-08-10T 17: 00: 00Z ,0,0,Neutral 
@ShadrackKigen,1,. An Ai robot with citizenship,2023-08-17T 12: 00: 00Z ,1,1,Positive 
@muyrare,1,It has to be D.,2023-08-12T 19: 00: 00Z ,1,1,Positive 
@huizhang7586,1,I think it is B.,2021-09-18T 13; 00: 00Z ,1,1,Positive 
@user-md7rm5hu6p,1,option D is my answer,2024-05-18T 12: 00: 00Z ,0,1,Positive 
@faizabenatmane5485,1,The answer is :D,2023-08-12T 11: 00: 00Z ,1,1,Positive 
@joyishidi376,1,The answer is :D,2023-08-12T 16: 00: 00Z ,1,1,Positive 
@user-mw7gc9cp4i,1,Option D,2023-09-12T 20: 00: 00Z ,0,0,Positive 
@eliteskills7800,1,i think it is D,2021-09-13T 16: 00: 00Z ,1,1,Positive 
@mirodilshokirov4042,1,D ,2024-01-18T 21: 00: 00Z ,1,0,Neutral 
@theresiaprayitno3071,1,I think the answer is c?,2023-09-12T 17: 00: 00Z ,0,0,Neutral 
@Gaming_bro2010,1,Answer in d one,2022-07-14T 19: 00: 00Z ,1,1,Positive 
@monsterkhan4305,1,Option d,2023-07-16T 21: 00: 00Z ,1,1,Positive 
@preeyankasamim6933,1,Option d,2023-06-13t 22: 00: 00Z ,1,1,Positive 
@pranavpokemon5277,1,b a robot with a muscular skeletal system.,2021-08-19T 11: 00: 00Z ,1,1,Positive 
@WilfEsme,1,Thanks for this! I'm looking to get myself into AI image generators like Bluewillow. Would you guys be able to create a tutorial on that one?,2023-09-14T 19: 00: 00Z ,2,1,Positive 
@devanshpahwa1369,1,Option d,2021-07-19T 12: 00: 00Z ,1,1,Positive 
@archijai416,1,Option B ,2023-11-18T 10: 00: 00Z ,1,1,Positive 
@user-fe9ef5lz9n,1,It’s D.,2023-08-23T 12; 00: 00Z ,0,0,Neutral 
@heallthylifewellnesscentre9814,1,B,2021-12:15T 10: 00: 00Z ,2,2,Positive 
@millcitydubbLLR3232,1,"I'm gonna say D. A robot cannot develop. Human emotion. To answer this question I used Artificial Intelligence. I looked at the information provided by the others commenting. And used that information as well as the email name provided, and created what is now my answer.",2023--7-13T 09: 00: 00Z ,0,1,Positive 
@juliuseguabor3891,1,The answer is A,2024-06-06T 22: 00: 00Z ,0,1,Positive 
@bhumimeher3765,1,C,2021-06-17T 28: 00: 00Z ,1,1,Positive 
@sudeeppatil6409,1,nswer to Quiz is D,2023-08-12T 22: 08: 00Z ,0,1,Positive 
@anushaweerasinghe8503,1,Answer is B,2023-09-12T 10: 00: 00Z ,0,1,Positive 
@darhlenebanks4716,1,B- robot with musculoskeletal features.,2023-10-22T 12: 00: 00Z ,0,1,Positive 
